geometry,N,x1,h,x2,Isp_load,Isp_med,OF_med,sigma,drift,drift_full,Gtilde,lambda,Phi0,of0,of_end,b_end,mdot_ox,Gox0,R_c,L,m_load,I_tot,run_id,rank,grid_divisions,oxidizer,Gox_lo,Gox_hi,of_lo,of_hi,thrust_mode
star,10,0.276607055664062,0.00714285714285714,0.29798472713139,317.932347029191,320.406188457826,3.04296163063597,0.0304989069560773,1.84989287861462,Inf,3.32955059302561,9.7841797436923,0.201490719410803,1.97142141540117,3.64691843709896,0.692635848846586,11.9769238882455,423.580266460096,0.324928747395078,4.36319252561726,4811.00565500639,15000000,2026-08-20T16:42:05,10,700,N2O4,400,700,1.1,19.5,mean
cylinder,0,0.299681579865421,0,0.299681579865421,308.15264249557,309.459523028005,3.831131280321,0.0200774636781891,1.81850251074427,Inf,3.18851074027566,12.2533020927644,0.205590735886513,2.51916539429118,4.5811085944986,0.691207233851184,13.0654289305186,420.000045926645,0.332055899817909,3.59941387333815,4963.69042004525,15000000,2026-08-20T17:35:21,1,700,IRFNA,400,700,1.1,19.5,mean
star,18,0.290625,0.00714285714285714,0.302251216222152,307.752197521566,309.39200454703,3.82971199645661,0.0250883166899584,1.83974041976846,Inf,3.20750115324365,12.291284155438,0.202822473129397,2.49294865034211,4.58637839644162,0.688632461690289,13.0672777964613,422.525433139486,0.333058086330101,3.59382910578193,4970.14913877164,15000000,2026-08-20T17:35:21,2,700,IRFNA,400,700,1.1,19.5,mean
star,17,0.290887451171875,0.00714285714285714,0.303069013479604,307.733183588092,309.404586611502,3.83005148847406,0.0255627312281345,1.83567138529468,Inf,3.18994441191762,12.2903308682173,0.203248954700061,2.49799690188306,4.5855014333415,0.68781426569672,13.0669862271822,420.208925958969,0.333161701152101,3.59464682792255,4970.45622975214,15000000,2026-08-20T17:35:21,3,700,IRFNA,400,700,1.1,19.5,mean
star,16,0.2903955078125,0.00714285714285714,0.303227549291897,307.707898917634,309.404784867083,3.83928865450248,0.0259928373035102,1.83396570399662,Inf,3.18772439308826,12.3198904145798,0.203419870656696,2.50611051463849,4.5961207342723,0.687655627297337,13.0734900549527,420.000074075116,0.3332736113863,3.58707050288757,4970.86465718685,15000000,2026-08-20T17:35:21,4,700,IRFNA,400,700,1.1,19.5,mean
star,15,0.289682006835937,0.00714285714285714,0.303296532333205,307.660323571457,309.407742641518,3.84605577473809,0.0267865004702739,1.83278237444337,Inf,3.18727266980547,12.3408379209759,0.203532588952282,2.51176269189673,4.60351439049278,0.687585060214052,13.078120096179,420.000040360539,0.333403860419215,3.58199852213249,4971.63333156164,15000000,2026-08-20T17:35:21,5,700,IRFNA,400,700,1.1,19.5,mean
star,14,0.288732299804688,0.00714285714285714,0.303300446023992,307.626323781581,309.417853826882,3.83131751638383,0.0273658937857076,1.83205051661517,Inf,3.18921468706489,12.2944132585379,0.203591203660438,2.50303439360458,4.58568545390881,0.687575857615779,13.0673199250174,420.117091280087,0.333396222508525,3.59474070734895,4972.18281148434,15000000,2026-08-20T17:35:21,6,700,IRFNA,400,700,1.1,19.5,mean
star,13,0.28736083984375,0.00714285714285714,0.303103783623022,307.585108931894,309.415287564192,3.83199855816693,0.0279473197729108,1.8323361859064,Inf,3.1965480113916,12.2980002225738,0.203542441611737,2.50316499224434,4.58663979458343,0.68777137930955,13.0679090206005,421.09070746198,0.333461051428744,3.59408211295336,4972.84905884561,15000000,2026-08-20T17:35:21,7,700,IRFNA,400,700,1.1,19.5,mean
star,12,0.286204223632812,0.00714285714285714,0.303443272602668,307.55266411972,309.415746319341,3.83219040342282,0.0284394305028175,1.83130309697132,Inf,3.19300363702611,12.3000159070989,0.203631981277246,2.5046766089042,4.5868220307979,0.687429306863919,13.0680250356201,420.625290253009,0.333552087506921,3.59399158862797,4973.3736621819,15000000,2026-08-20T17:35:21,8,700,IRFNA,400,700,1.1,19.5,mean
star,11,0.28407470703125,0.00714285714285714,0.303210379097827,307.490424125173,309.413224580122,3.83403650772587,0.0293409129717077,1.83251629516647,Inf,3.20299188950123,12.3084253563091,0.203462837152926,2.50430714387966,4.58918364926129,0.687664073316909,13.0694338461796,421.959271425972,0.333665146033317,3.59224151568768,4974.38033661898,15000000,2026-08-20T17:35:21,9,700,IRFNA,400,700,1.1,19.5,mean
star,10,0.281260986328125,0.00714285714285714,0.302878159418876,307.429016326739,309.404609433088,3.8347089701229,0.0301322940389785,1.8347104472747,Inf,3.21753868827641,12.3152330282901,0.203178245540939,2.50218744011581,4.59078943742001,0.687995242007126,13.0702718994665,423.886525504252,0.333764974579896,3.59085038174199,4975.37395052276,15000000,2026-08-20T17:35:21,10,700,IRFNA,400,700,1.1,19.5,mean
cylinder,0,0.296484262243853,0,0.296484262243853,344.896215679074,346.01056964098,5.4046917997073,0.0202736193209414,1.82816516196152,Inf,3.2604802277245,17.3000522042374,0.204491066040127,3.53770611779436,6.46751107780977,0.694266001646147,12.4346240971544,421.062553778478,0.327020861641694,2.49888856282373,4434.88287180907,15000000,2026-08-20T18:26:49,1,700,H2O2_90,400,700,1.1,19.5,mean
star,18,0.288651123046875,0.00714285714285714,0.300246889035361,344.579601255519,345.981186535034,5.41719156702302,0.0254377051118138,1.84605986917056,Inf,3.25220006067306,17.3945682452169,0.202115379129846,3.51570975568199,6.49021069161596,0.690500516733824,12.4401619624336,420.0680515256,0.32811921902728,2.4897577807265,4438.95783120561,15000000,2026-08-20T18:26:49,2,700,H2O2_90,400,700,1.1,19.5,mean
star,17,0.2851416015625,0.00714285714285714,0.2972236351969,344.554494248732,345.966419161436,5.41789193772106,0.0256251529908034,1.85440734907557,Inf,3.32441191818021,17.4096795535493,0.201189003955441,3.50263608856199,6.49531410376667,0.693518749199276,12.4409435780151,429.40603485301,0.327984920589141,2.48712664207155,4439.2812893124,15000000,2026-08-20T18:26:49,3,700,H2O2_90,400,700,1.1,19.5,mean
star,16,0.287484741210937,0.00714285714285714,0.300259757401336,344.534547174965,345.98407203503,5.41959319208029,0.0262980589151316,1.84328041320439,Inf,3.25421822098696,17.4030458717952,0.202380235500634,3.52203252196224,6.49209356240186,0.690485571551505,12.4409173164693,420.338934320127,0.328230960778118,2.48900641827196,4439.53830467437,15000000,2026-08-20T18:26:49,4,700,H2O2_90,400,700,1.1,19.5,mean
star,15,0.286687622070312,0.00714285714285714,0.300235251230661,344.501815552746,345.985380385503,5.42081081539386,0.0269063176527158,1.84236823811891,Inf,3.25624997828428,17.4071615449043,0.202463424066553,3.52431352966095,6.4930833082201,0.690507644259128,12.4413055889998,420.606621768359,0.328304417129634,2.48871577768925,4439.96011171298,15000000,2026-08-20T18:26:49,5,700,H2O2_90,400,700,1.1,19.5,mean
star,14,0.28560546875,0.00714285714285714,0.300093202682594,344.465544804665,345.986160230854,5.42227286399291,0.0275687175159684,1.84208388738793,Inf,3.26146795544772,17.4130207432526,0.2024741924698,3.52568731344994,6.49461179207415,0.69064567359104,12.4418000315279,421.287319706215,0.328380888272686,2.48819281696353,4440.42762051649,15000000,2026-08-20T18:26:49,6,700,H2O2_90,400,700,1.1,19.5,mean
star,13,0.284529418945312,0.00714285714285714,0.300187624438589,344.436209087814,345.985853562801,5.42436422359292,0.0280914001304101,1.84139363744243,Inf,3.26234279147329,17.4211442315587,0.202529667210391,3.52829854364181,6.49698648925942,0.690549028469833,12.442558025351,421.410592244209,0.328459250074509,2.48736717814486,4440.80581283174,15000000,2026-08-20T18:26:49,7,700,H2O2_90,400,700,1.1,19.5,mean
star,12,0.283361206054687,0.00714285714285714,0.300499964223548,344.398430109481,345.987077199934,5.42566336621668,0.0287867745568355,1.84039575704819,Inf,3.25888831329129,17.4263506054132,0.202613357892128,3.53081141196828,6.49809034152373,0.690233467057341,12.442977785538,420.970043289969,0.328569547104257,2.4870624873299,4441.29294950808,15000000,2026-08-20T18:26:49,8,700,H2O2_90,400,700,1.1,19.5,mean
star,11,0.2819921875,0.00714285714285714,0.301039941597483,344.353842890094,345.988949380487,5.42764073667062,0.0296166366795265,1.83916431322838,Inf,3.25141962516947,17.4337441494149,0.202714157191218,3.53406675193597,6.49972945072756,0.689692131384198,12.4436159696985,420.013884770371,0.328713027055552,2.48658235819829,4441.86801177962,15000000,2026-08-20T18:26:49,9,700,H2O2_90,400,700,1.1,19.5,mean
star,10,0.279286499023437,0.00714285714285714,0.300802060605759,344.30622188587,345.984736408056,5.42904452082769,0.0303894650367201,1.84106946604618,Inf,3.26410121619503,17.4444343513032,0.20246404866812,3.53187080549009,6.50241949800772,0.689931141675455,12.4442680970354,421.660913936263,0.328813479458314,2.48547078647636,4442.48236668204,15000000,2026-08-20T18:26:49,10,700,H2O2_90,400,700,1.1,19.5,mean
